Title,Body,Labels,Due Date,Effort,Hours Planned
W01 – JS #1: Workload – subjective,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-01,S,2.0
W01 – JS #2: Workload – physiological/performance,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-01,S,2.0
W01 – Major Artifact Progress: Workload Review v1 build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:workload",2026-03-01,M,4.0
W01 – Standards Dossier Progress,"MIL-STD-1472 visual legibility dossier: clause insertion, RQs, evidence extraction, classification, MoC implications.","artifact:standards-dossier,std:mil-std-1472,topic:legibility,phase:draft",2026-03-01,M,3.0
W01 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-03-01,XS,1.0
W02 – JS #3: Workload – subjective,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-08,S,2.0
W02 – JS #4: Workload – physiological/performance,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-08,S,2.0
W02 – Major Artifact Progress: Workload Review v1 build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:workload",2026-03-08,M,4.0
W02 – Standards Dossier Progress,"MIL-STD-1472 visual legibility dossier: clause insertion, RQs, evidence extraction, classification, MoC implications.","artifact:standards-dossier,std:mil-std-1472,topic:legibility,phase:draft",2026-03-08,M,3.0
W02 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-03-08,XS,1.0
W03 – JS #5: Workload – subjective,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-15,S,2.0
W03 – JS #6: Workload – physiological/performance,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-15,S,2.0
W03 – Major Artifact Progress: Workload Review v1 build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:workload",2026-03-15,M,4.0
W03 – Standards Dossier Progress,"MIL-STD-1472 visual legibility dossier: clause insertion, RQs, evidence extraction, classification, MoC implications.","artifact:standards-dossier,std:mil-std-1472,topic:legibility,phase:draft",2026-03-15,M,3.0
W03 – Housekeeping: Compiler + Crosswalk + Framework Log,"Update standards compiler dashboard, topic-to-criterion crosswalk, and framework revision history if changed. Fix broken links.","artifact:crosswalk,artifact:framework,phase:audit",2026-03-15,XS,1.0
W04 – JS #7: Workload – subjective,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-22,S,2.0
W04 – JS #8: Workload – physiological/performance,"Complete structured journal summary. Verify N, environment, and statistics against PDF. Add cross-links.","artifact:journal-summary,topic:workload",2026-03-22,S,2.0
W04 – Major Artifact Progress: Workload Review v1 build,Advance the current monthly major artifact (review/systematic/framework/strategic) by one meaningful section. Verify claims against PDFs.,"phase:draft,artifact:review-article,topic:workload",2026-03-22,M,4.0
W04 – Standards Dossier Progress,"MIL-STD-1472 visual legibility dossier: clause insertion, RQs, evidence extraction, classification, MoC implications.","artifact:standards-dossier,std:mil-std-1472,topic:legibility,phase:draft",2026-03-22,M,3.0
